transaction_id,member_id,partner_id,points_earned,points_redeemed,transaction_date,partner_name
TXN001,MEM001,PART01,150,0,2026-07-01,Café Central
TXN002,MEM002,PART02,0,500,2026-07-01,Gasolinera Express
TXN003,MEM003,PART03,320,0,2026-07-01,Tienda Moda
TXN004,MEM004,PART04,90,0,2026-07-01,Restaurante Sabores
TXN005,MEM005,PART01,210,0,2026-07-02,Café Central
TXN006,MEM001,PART02,75,0,2026-07-02,Gasolinera Express
TXN007,MEM002,PART03,0,120,2026-07-02,Tienda Moda
TXN008,MEM003,PART04,45,0,2026-07-02,Restaurante Sabores
TXN009,MEM004,PART01,600,0,2026-07-03,Café Central
TXN010,MEM005,PART02,130,0,2026-07-03,Gasolinera Express
TXN011,MEMBER1,PART01,100,0,2026-07-03,Café Central
TXN012,MEM99,PART02,80,0,2026-07-03,Gasolinera Express
TXN013,MEM001,PART03,-50,0,2026-07-03,Tienda Moda
TXN013,MEM002,PART04,60,0,2026-07-03,Restaurante Sabores
TXN015,MEM003,PART01,9500,0,2026-07-04,Café Central
TXN016,MEM003,PART01,800,0,2026-07-04,Café Central
TXN017,MEM004,PART02,55,0,2026-12-31,Gasolinera Express
TXN018,MEM005,PART03,140,0,2026-07-04,Tienda Moda
TXN019,MEM001,PART04,220,0,2026-07-04,Restaurante Sabores
TXN020,MEM002,PART01,95,0,2026-07-05,Café Central
TXN021,MEM003,PART02,0,60,2026-07-05,Gasolinera Express
TXN022,MEM004,PART03,180,0,2026-07-05,Tienda Moda
TXN023,MEM005,PART04,310,0,2026-07-05,Restaurante Sabores
TXN024,MEM001,PART01,125,0,2026-07-05,Café Central
